user,video,delta,theta,alpha,beta,op
1,1,-2.463,-0.306,-2.816,-0.301,4
1,2,-2.179,-0.328,-2.204,-0.286,4
1,3,-2.274,-0.304,-2.958,-0.304,4
1,4,-2.518,-0.308,-2.706,-0.298,2
1,5,-2.344,-0.309,-2.446,-0.300,3
1,6,-2.314,-0.321,-2.191,-0.292,3
1,7,-2.098,-0.305,-2.810,-0.306,3
1,8,-2.456,-0.311,-3.087,-0.295,3
1,9,-2.387,-0.311,-3.987,-0.295,1
1,10,-2.333,-0.308,-3.646,-0.298,1
1,11,-2.408,-0.314,-2.971,-0.292,1
1,12,-2.152,-0.311,-2.951,-0.298,1
1,13,-2.151,-0.309,-3.316,-0.300,1
1,14,-2.518,-0.318,-2.719,-0.289,1
1,15,-2.602,-0.308,-2.248,-0.302,2
1,16,-2.178,-0.329,-2.627,-0.282,4
1,17,-2.292,-0.301,-3.110,-0.306,2
1,18,-2.286,-0.318,-2.938,-0.290,4
1,19,-2.243,-0.317,-2.979,-0.291,4
1,20,-2.375,-0.303,-3.389,-0.304,4
1,21,-2.252,-0.308,-3.150,-0.300,4
1,22,-2.273,-0.309,-3.248,-0.299,3
1,23,-2.362,-0.308,-3.181,-0.299,3
1,24,-2.300,-0.294,-3.285,-0.313,4
1,25,-2.387,-0.302,-2.693,-0.305,4
1,26,-2.362,-0.311,-3.213,-0.295,4
1,27,-2.241,-0.302,-3.344,-0.305,4
1,28,-2.267,-0.301,-2.690,-0.308,1
1,29,-2.387,-0.303,-2.675,-0.305,1
1,30,-2.238,-0.310,-2.607,-0.300,1
1,31,-2.177,-0.311,-2.306,-0.301,2
1,32,-2.288,-0.320,-2.044,-0.295,2
1,33,-2.219,-0.320,-2.901,-0.289,1
1,34,-2.346,-0.305,-2.985,-0.302,2
1,35,-1.969,-0.315,-2.141,-0.303,2
1,36,-1.758,-0.317,-2.589,-0.303,2
1,37,-2.349,-0.314,-2.977,-0.293,2
1,38,-2.478,-0.310,-2.838,-0.296,2
1,39,-2.295,-0.307,-2.353,-0.304,2
1,40,-2.433,-0.302,-3.133,-0.304,4
2,1,-2.001,-0.330,-3.225,-0.283,4
2,2,-1.959,-0.315,-4.178,-0.297,4
2,3,-1.861,-0.317,-2.280,-0.302,4
2,4,-1.748,-0.342,-2.103,-0.284,3
2,5,-1.881,-0.319,-2.674,-0.297,3
2,6,-1.874,-0.332,-2.780,-0.284,3
2,7,-1.946,-0.316,-2.723,-0.298,1
2,8,-2.120,-0.312,-3.025,-0.298,4
2,9,-1.970,-0.320,-2.813,-0.293,4
2,10,-1.923,-0.324,-1.994,-0.298,1
2,11,-1.907,-0.314,-2.844,-0.300,3
2,12,-2.048,-0.334,-3.630,-0.278,4
2,13,-1.950,-0.320,-2.140,-0.299,3
2,14,-1.773,-0.320,-2.166,-0.303,4
2,15,-1.761,-0.328,-3.879,-0.290,4
2,16,-1.998,-0.318,-1.928,-0.303,4
2,17,-1.994,-0.314,-3.336,-0.298,3
2,18,-1.861,-0.318,-3.147,-0.297,4
2,19,-1.986,-0.310,-3.892,-0.301,4
2,20,-1.931,-0.310,-4.891,-0.302,4
2,21,-2.029,-0.396,-2.773,-0.231,1
2,22,-2.123,-0.318,-3.078,-0.292,1
2,23,-1.844,-0.314,-3.018,-0.301,1
2,24,-1.913,-0.314,-3.208,-0.300,4
2,25,-1.875,-0.320,-3.402,-0.295,4
2,26,-1.900,-0.318,-2.633,-0.297,4
2,27,-2.032,-0.315,-5.150,-0.295,2
2,28,-1.992,-0.329,-3.241,-0.283,1
2,29,-1.928,-0.319,-2.278,-0.298,2
2,30,-1.952,-0.321,-2.987,-0.293,2
2,31,-1.929,-0.331,-2.671,-0.284,2
2,32,-2.092,-0.316,-3.337,-0.294,2
2,33,-2.048,-0.315,-3.200,-0.296,2
