user,video,delta,theta,alpha,beta,op
1,1,-2.563,-0.301,-3.112,-0.304,4
1,2,-2.321,-0.311,-2.171,-0.301,4
1,3,-2.341,-0.301,-3.831,-0.305,4
1,4,-2.219,-0.314,-4.297,-0.293,2
1,5,-2.412,-0.310,-3.398,-0.296,3
1,6,-2.523,-0.311,-2.962,-0.295,3
1,7,-2.141,-0.306,-3.032,-0.303,3
1,8,-2.312,-0.306,-4.260,-0.300,3
1,9,-2.501,-0.310,-3.452,-0.295,1
1,10,-2.125,-0.306,-2.289,-0.307,1
1,11,-2.521,-0.303,-2.885,-0.303,1
1,12,-2.327,-0.306,-3.372,-0.301,1
1,13,-2.356,-0.307,-2.361,-0.302,1
1,14,-2.291,-0.319,-2.676,-0.290,1
1,15,-2.417,-0.314,-1.953,-0.302,2
1,16,-2.282,-0.309,-2.871,-0.299,4
1,17,-2.254,-0.311,-2.391,-0.300,2
1,18,-2.410,-0.301,-2.652,-0.306,4
1,19,-2.414,-0.303,-5.891,-0.302,4
1,20,-2.410,-0.302,-3.748,-0.303,4
1,21,-2.378,-0.309,-2.375,-0.300,4
1,22,-2.364,-0.307,-2.748,-0.300,3
1,23,-2.328,-0.308,-2.316,-0.302,3
1,24,-2.182,-0.302,-3.154,-0.307,4
1,25,-2.265,-0.309,-2.705,-0.300,4
1,26,-2.387,-0.306,-2.649,-0.302,4
1,27,-2.460,-0.299,-2.522,-0.309,4
1,28,-2.449,-0.313,-2.430,-0.296,1
1,29,-2.378,-0.315,-2.113,-0.298,1
1,30,-2.425,-0.308,-2.470,-0.301,1
1,31,-2.569,-0.296,-3.621,-0.309,2
1,32,-2.416,-0.308,-2.532,-0.300,2
1,33,-2.384,-0.311,-3.551,-0.295,1
1,34,-2.382,-0.310,-2.541,-0.298,2
1,35,-2.214,-0.302,-2.892,-0.307,2
1,36,-2.405,-0.297,-3.770,-0.309,2
1,37,-2.261,-0.314,-2.612,-0.295,2
1,38,-2.307,-0.300,-3.322,-0.307,2
1,39,-2.211,-0.315,-1.907,-0.303,2
1,40,-2.453,-0.299,-2.848,-0.307,4
2,1,-1.997,-0.333,-3.165,-0.280,4
2,2,-1.977,-0.314,-3.653,-0.298,4
2,3,-1.838,-0.316,-2.340,-0.303,4
2,4,-1.759,-0.334,-2.246,-0.289,3
2,5,-1.880,-0.320,-2.555,-0.296,3
2,6,-1.927,-0.327,-2.974,-0.288,3
2,7,-1.935,-0.318,-2.771,-0.296,1
2,8,-2.146,-0.313,-3.072,-0.296,4
2,9,-2.063,-0.314,-2.812,-0.297,4
2,10,-1.907,-0.327,-1.934,-0.296,1
2,11,-1.886,-0.314,-2.722,-0.301,3
2,12,-2.069,-0.332,-3.598,-0.279,4
2,13,-1.957,-0.317,-2.250,-0.299,3
2,14,-1.765,-0.318,-2.172,-0.305,4
2,15,-1.763,-0.329,-4.159,-0.290,4
2,16,-1.979,-0.318,-1.911,-0.304,4
2,17,-1.962,-0.313,-3.278,-0.299,3
2,18,-1.809,-0.320,-3.006,-0.297,4
2,19,-2.010,-0.308,-3.782,-0.303,4
2,20,-1.990,-0.311,-3.976,-0.300,4
2,21,-2.037,-0.393,-2.723,-0.233,1
2,22,-2.117,-0.318,-3.008,-0.292,1
2,23,-1.847,-0.316,-3.024,-0.300,1
2,24,-1.943,-0.314,-3.007,-0.299,4
2,25,-1.816,-0.321,-3.457,-0.295,4
2,26,-1.926,-0.319,-2.533,-0.296,4
2,27,-2.024,-0.317,-4.608,-0.294,2
2,28,-1.998,-0.327,-3.309,-0.285,1
2,29,-1.931,-0.317,-2.305,-0.300,2
2,30,-1.962,-0.321,-3.062,-0.292,2
2,31,-1.897,-0.332,-2.539,-0.285,2
2,32,-2.081,-0.316,-3.341,-0.294,2
2,33,-2.045,-0.314,-3.238,-0.296,2
2,34,-2.011,-0.313,-3.915,-0.298,1
2,35,-1.854,-0.314,-2.382,-0.304,1
2,36,-1.739,-0.347,-3.158,-0.275,3
2,37,-1.836,-0.314,-3.061,-0.301,2
2,38,-1.997,-0.315,-4.662,-0.296,2
2,39,-2.177,-0.310,-3.615,-0.298,1
2,40,-2.019,-0.324,-2.230,-0.292,4
3,1,-1.878,-0.317,-2.461,-0.300,3
3,2,-1.828,-0.315,-4.427,-0.301,3
3,3,-1.855,-0.308,-3.664,-0.307,3
3,4,-1.678,-0.319,-2.125,-0.308,1
3,5,-1.868,-0.315,-3.046,-0.300,3
3,6,-1.995,-0.312,-3.904,-0.299,3
3,7,-1.984,-0.321,-3.696,-0.291,3
3,8,-2.094,-0.314,-3.039,-0.296,3
3,9,-2.324,-0.311,-3.798,-0.295,3
3,10,-1.986,-0.326,-4.063,-0.286,2
3,11,-2.055,-0.313,-4.003,-0.297,3
3,12,-2.067,-0.328,-2.207,-0.288,3
3,13,-1.679,-0.315,-3.781,-0.306,3
3,14,-1.770,-0.317,-2.862,-0.302,3
3,15,-1.905,-0.317,-3.629,-0.297,3
3,16,-1.831,-0.319,-2.703,-0.298,3
3,17,-1.872,-0.319,-3.337,-0.295,1
3,18,-1.985,-0.313,-3.289,-0.299,3
3,19,-2.031,-0.310,-3.411,-0.300,3
3,20,-1.783,-0.314,-2.234,-0.308,3
3,21,-2.055,-0.312,-3.380,-0.298,2
3,22,-2.000,-0.313,-3.546,-0.298,1
3,23,-1.868,-0.327,-4.531,-0.288,1
3,24,-1.779,-0.321,-3.392,-0.296,1
3,25,-1.927,-0.320,-2.926,-0.294,1
