user,video,delta,theta,alpha,beta,op
1,1,-2.308,-0.305,-2.976,-0.302,4
1,2,-2.302,-0.309,-2.529,-0.300,4
1,3,-2.282,-0.304,-2.793,-0.304,4
1,4,-2.318,-0.312,-2.650,-0.296,2
1,5,-2.253,-0.308,-3.219,-0.300,3
1,6,-2.286,-0.307,-3.074,-0.300,3
1,7,-2.211,-0.308,-3.442,-0.300,3
1,8,-2.240,-0.307,-4.173,-0.300,3
1,9,-2.431,-0.318,-3.314,-0.289,1
1,10,-2.153,-0.313,-2.402,-0.299,1
1,11,-2.444,-0.311,-2.942,-0.296,1
1,12,-2.228,-0.301,-3.660,-0.307,1
1,13,-2.224,-0.309,-2.627,-0.300,1
1,14,-2.251,-0.322,-2.162,-0.292,1
1,15,-2.471,-0.313,-1.830,-0.305,2
1,16,-2.258,-0.317,-3.271,-0.291,4
1,17,-2.216,-0.313,-2.575,-0.297,2
1,18,-2.187,-0.319,-3.101,-0.290,4
1,19,-2.146,-0.306,-3.184,-0.302,4
1,20,-2.189,-0.304,-2.442,-0.307,4
1,21,-2.271,-0.306,-3.001,-0.301,4
1,22,-2.300,-0.316,-3.063,-0.292,3
1,23,-2.402,-0.303,-2.309,-0.307,3
1,24,-2.349,-0.302,-3.544,-0.304,4
1,25,-2.268,-0.307,-2.390,-0.304,4
1,26,-2.414,-0.300,-2.895,-0.306,4
1,27,-2.418,-0.307,-2.770,-0.300,4
1,28,-2.409,-0.306,-3.345,-0.300,1
1,29,-2.214,-0.310,-2.837,-0.298,1
1,30,-2.311,-0.311,-2.850,-0.296,1
1,31,-2.301,-0.309,-2.425,-0.301,2
1,32,-2.360,-0.308,-2.376,-0.301,2
1,33,-2.444,-0.313,-2.829,-0.294,1
1,34,-2.221,-0.306,-2.615,-0.304,2
1,35,-2.200,-0.309,-3.286,-0.299,2
1,36,-2.054,-0.309,-2.865,-0.302,2
1,37,-2.211,-0.315,-2.762,-0.294,2
1,38,-2.355,-0.308,-3.789,-0.298,2
1,39,-2.052,-0.311,-2.005,-0.307,2
1,40,-2.325,-0.311,-2.235,-0.300,4
2,1,-1.994,-0.333,-3.226,-0.280,4
2,2,-1.964,-0.314,-3.877,-0.298,4
2,3,-1.845,-0.316,-2.274,-0.303,4
2,4,-1.751,-0.340,-2.134,-0.286,3
2,5,-1.883,-0.320,-2.586,-0.297,3
2,6,-1.892,-0.330,-2.889,-0.286,3
2,7,-1.933,-0.317,-2.716,-0.298,1
2,8,-2.136,-0.313,-3.131,-0.297,4
2,9,-1.988,-0.318,-2.826,-0.295,4
2,10,-1.909,-0.326,-1.981,-0.297,1
2,11,-1.896,-0.314,-2.792,-0.301,3
2,12,-2.056,-0.333,-3.626,-0.278,4
2,13,-1.954,-0.319,-2.204,-0.299,3
2,14,-1.758,-0.320,-2.135,-0.304,4
2,15,-1.753,-0.328,-3.991,-0.290,4
2,16,-1.994,-0.318,-1.927,-0.304,4
2,17,-1.975,-0.313,-3.340,-0.299,3
2,18,-1.835,-0.319,-3.064,-0.297,4
2,19,-1.984,-0.309,-3.993,-0.302,4
2,20,-1.944,-0.311,-4.365,-0.302,4
2,21,-2.028,-0.396,-2.725,-0.231,1
2,22,-2.117,-0.318,-3.063,-0.292,1
2,23,-1.840,-0.315,-2.822,-0.301,1
2,24,-1.915,-0.314,-3.195,-0.299,4
2,25,-1.850,-0.321,-3.413,-0.294,4
2,26,-1.909,-0.318,-2.605,-0.297,4
2,27,-2.027,-0.316,-4.887,-0.295,2
2,28,-1.992,-0.329,-3.117,-0.284,1
2,29,-1.923,-0.319,-2.289,-0.298,2
2,30,-1.959,-0.321,-2.983,-0.292,2
2,31,-1.913,-0.331,-2.599,-0.285,2
2,32,-2.083,-0.316,-3.331,-0.294,2
2,33,-2.044,-0.315,-3.204,-0.296,2
2,34,-1.972,-0.314,-3.678,-0.298,1
2,35,-1.856,-0.313,-2.370,-0.305,1
2,36,-1.728,-0.355,-2.841,-0.269,3
2,37,-1.818,-0.315,-3.166,-0.301,2
2,38,-1.982,-0.316,-4.802,-0.295,2
2,39,-2.168,-0.312,-3.702,-0.296,1
2,40,-1.974,-0.325,-2.286,-0.292,4
3,1,-1.872,-0.314,-2.588,-0.302,3
3,2,-1.855,-0.316,-3.833,-0.298,3
3,3,-1.869,-0.308,-3.901,-0.306,3
3,4,-1.718,-0.321,-2.084,-0.305,1
3,5,-1.879,-0.311,-3.073,-0.303,3
3,6,-2.010,-0.312,-3.815,-0.299,3
3,7,-2.027,-0.320,-3.772,-0.291,3
3,8,-2.139,-0.316,-3.191,-0.293,3
3,9,-2.177,-0.312,-3.494,-0.297,3
3,10,-1.965,-0.326,-3.306,-0.287,2
3,11,-2.020,-0.314,-4.125,-0.297,3
3,12,-2.034,-0.323,-2.326,-0.292,3
3,13,-1.735,-0.316,-4.095,-0.302,3
3,14,-1.734,-0.320,-2.602,-0.300,3
3,15,-1.883,-0.316,-3.610,-0.298,3
3,16,-1.828,-0.319,-2.643,-0.299,3
3,17,-1.831,-0.325,-2.691,-0.292,1
3,18,-1.956,-0.314,-3.326,-0.298,3
3,19,-2.022,-0.309,-3.409,-0.302,3
3,20,-1.879,-0.314,-2.504,-0.302,3
3,21,-2.010,-0.314,-3.475,-0.297,2
3,22,-1.970,-0.313,-3.814,-0.299,1
3,23,-1.911,-0.318,-3.616,-0.296,1
3,24,-1.779,-0.323,-3.521,-0.294,1
3,25,-1.875,-0.318,-3.583,-0.297,1
3,26,-1.917,-0.312,-3.836,-0.301,1
3,27,-1.956,-0.310,-3.742,-0.301,3
3,28,-1.945,-0.312,-2.013,-0.309,3
3,29,-1.889,-0.311,-3.117,-0.303,1
3,30,-1.868,-0.304,-3.327,-0.310,1
3,31,-2.020,-0.416,-3.109,-0.218,1
3,32,-1.889,-0.338,-2.221,-0.282,3
3,33,-2.329,-0.435,-2.683,-0.204,1
3,34,-1.804,-0.317,-3.577,-0.299,2
3,35,-2.066,-0.320,-2.517,-0.293,2
3,36,-2.123,-0.321,-2.357,-0.292,4
3,37,-1.927,-0.326,-2.236,-0.293,2
3,38,-1.958,-0.362,-3.491,-0.257,2
3,39,-1.661,-0.382,-1.171,-0.304,2
3,40,-1.720,-0.337,-2.187,-0.289,3
4,1,-2.180,-0.311,-5.255,-0.297,4
4,2,-2.170,-0.309,-4.743,-0.299,1
4,3,-2.145,-0.319,-2.307,-0.294,4
4,4,-1.951,-0.313,-4.004,-0.299,3
4,5,-2.219,-0.324,-2.962,-0.285,2
4,6,-2.295,-0.306,-3.746,-0.301,3
4,7,-2.156,-0.306,-3.781,-0.302,1
4,8,-2.017,-0.312,-3.835,-0.299,4
4,9,-2.140,-0.312,-3.416,-0.296,3
4,10,-2.027,-0.316,-2.644,-0.296,1
4,11,-1.839,-0.325,-2.955,-0.291,4
4,12,-2.007,-0.317,-2.981,-0.295,4
4,13,-2.048,-0.348,-3.945,-0.266,1
4,14,-2.042,-0.322,-3.162,-0.289,4
4,15,-2.183,-0.304,-2.920,-0.305,4
4,16,-2.056,-0.314,-5.032,-0.296,1
4,17,-1.915,-0.314,-3.217,-0.300,4
4,18,-1.836,-0.312,-3.604,-0.303,1
4,19,-2.069,-0.313,-2.275,-0.301,4
4,20,-2.084,-0.312,-2.980,-0.298,4
4,21,-1.758,-0.324,-4.089,-0.294,1
4,22,-1.824,-0.321,-3.253,-0.296,1
4,23,-1.957,-0.318,-3.561,-0.294,1
4,24,-1.834,-0.312,-4.212,-0.303,2
4,25,-1.980,-0.324,-3.249,-0.289,4
4,26,-2.079,-0.320,-4.385,-0.290,3
4,27,-1.849,-0.318,-2.413,-0.300,4
