user,video,delta,theta,alpha,beta,op
1,1,-2.447,-0.303,-3.031,-0.303,4
1,2,-2.262,-0.310,-2.163,-0.303,4
1,3,-2.340,-0.306,-2.161,-0.306,4
1,4,-2.202,-0.319,-2.498,-0.291,2
1,5,-2.325,-0.303,-2.640,-0.305,3
1,6,-2.450,-0.306,-2.296,-0.303,3
1,7,-2.181,-0.301,-2.731,-0.309,3
1,8,-2.599,-0.304,-5.304,-0.300,3
1,9,-2.702,-0.312,-2.775,-0.293,1
1,10,-2.254,-0.319,-1.840,-0.301,1
1,11,-2.470,-0.304,-2.652,-0.303,1
1,12,-2.431,-0.296,-4.048,-0.309,1
1,13,-2.259,-0.302,-2.759,-0.306,1
1,14,-2.545,-0.319,-3.002,-0.287,1
1,15,-2.292,-0.307,-1.828,-0.312,2
1,16,-2.383,-0.322,-2.380,-0.288,4
1,17,-2.321,-0.304,-2.627,-0.305,2
1,18,-2.270,-0.304,-3.075,-0.304,4
1,19,-2.334,-0.295,-3.311,-0.311,4
1,20,-2.397,-0.301,-2.783,-0.306,4
1,21,-2.305,-0.305,-3.241,-0.302,4
1,22,-2.532,-0.305,-2.758,-0.301,3
1,23,-2.432,-0.301,-2.481,-0.307,3
1,24,-2.439,-0.301,-3.031,-0.305,4
1,25,-2.346,-0.310,-2.360,-0.300,4
1,26,-2.378,-0.302,-3.239,-0.304,4
1,27,-2.603,-0.306,-2.208,-0.304,4
1,28,-2.593,-0.300,-2.655,-0.306,1
1,29,-2.174,-0.323,-1.838,-0.298,1
1,30,-2.423,-0.306,-2.278,-0.304,1
1,31,-2.451,-0.299,-2.674,-0.308,2
1,32,-2.475,-0.307,-2.196,-0.303,2
1,33,-2.280,-0.311,-2.717,-0.297,1
1,34,-2.268,-0.307,-2.814,-0.301,2
1,35,-2.330,-0.312,-1.877,-0.305,2
1,36,-2.448,-0.308,-2.556,-0.300,2
1,37,-2.588,-0.312,-2.576,-0.295,2
1,38,-2.387,-0.316,-1.995,-0.299,2
1,39,-2.138,-0.307,-1.791,-0.316,2
1,40,-2.293,-0.304,-2.298,-0.307,4
2,1,-2.214,-0.330,-2.598,-0.281,4
2,2,-2.047,-0.310,-3.363,-0.301,4
2,3,-2.137,-0.307,-2.870,-0.303,4
2,4,-1.983,-0.319,-2.890,-0.293,3
2,5,-2.115,-0.317,-2.337,-0.296,3
2,6,-2.182,-0.312,-2.997,-0.296,3
2,7,-2.039,-0.314,-3.991,-0.297,1
2,8,-2.225,-0.309,-2.987,-0.299,4
2,9,-2.111,-0.306,-3.188,-0.303,4
2,10,-1.981,-0.322,-2.150,-0.296,1
2,11,-2.036,-0.306,-2.941,-0.305,3
2,12,-2.040,-0.317,-3.310,-0.294,4
2,13,-2.175,-0.306,-2.918,-0.303,3
2,14,-1.976,-0.309,-2.478,-0.305,4
2,15,-2.006,-0.317,-3.030,-0.295,4
2,16,-1.983,-0.313,-2.147,-0.304,4
2,17,-2.119,-0.316,-3.644,-0.293,3
