user,video,delta,theta,alpha,beta,op
1,1,-2.191,-0.312,-2.506,-0.299,4
1,2,-2.038,-0.325,-2.749,-0.288,4
1,3,-2.264,-0.306,-2.843,-0.302,4
1,4,-2.575,-0.310,-2.284,-0.299,2
1,5,-2.257,-0.312,-2.878,-0.296,3
1,6,-2.207,-0.317,-2.685,-0.293,3
1,7,-2.112,-0.311,-2.553,-0.300,3
1,8,-2.164,-0.309,-3.630,-0.299,3
1,9,-2.286,-0.312,-2.599,-0.297,1
1,10,-2.147,-0.306,-2.753,-0.304,1
1,11,-2.589,-0.315,-2.391,-0.294,1
1,12,-2.281,-0.308,-3.208,-0.299,1
1,13,-2.058,-0.313,-3.281,-0.297,1
1,14,-2.161,-0.315,-4.044,-0.293,1
1,15,-2.580,-0.308,-2.048,-0.304,2
1,16,-2.158,-0.329,-2.525,-0.283,4
1,17,-2.123,-0.316,-3.318,-0.293,2
1,18,-2.202,-0.329,-4.212,-0.280,4
1,19,-2.055,-0.317,-3.064,-0.294,4
1,20,-2.158,-0.303,-2.441,-0.308,4
1,21,-2.233,-0.310,-3.223,-0.298,4
1,22,-2.181,-0.318,-2.875,-0.291,3
1,23,-2.375,-0.309,-2.440,-0.300,3
1,24,-2.276,-0.306,-2.376,-0.304,4
1,25,-2.258,-0.312,-2.158,-0.301,4
1,26,-2.332,-0.307,-2.832,-0.300,4
1,27,-2.308,-0.308,-2.808,-0.300,4
1,28,-2.229,-0.310,-3.196,-0.297,1
1,29,-2.169,-0.307,-2.179,-0.307,1
1,30,-2.210,-0.310,-2.610,-0.300,1
1,31,-2.248,-0.308,-2.154,-0.305,2
1,32,-2.239,-0.313,-2.416,-0.297,2
1,33,-2.339,-0.318,-3.036,-0.289,1
1,34,-2.297,-0.313,-2.757,-0.295,2
1,35,-1.904,-0.313,-3.412,-0.300,2
1,36,-1.825,-0.314,-2.300,-0.306,2
1,37,-2.207,-0.321,-2.524,-0.290,2
1,38,-2.329,-0.311,-2.934,-0.296,2
1,39,-2.187,-0.309,-1.957,-0.308,2
1,40,-2.442,-0.305,-2.526,-0.303,4
2,1,-2.002,-0.332,-3.221,-0.281,4
2,2,-1.958,-0.314,-4.100,-0.298,4
2,3,-1.874,-0.316,-2.191,-0.303,4
2,4,-1.740,-0.343,-2.108,-0.284,3
2,5,-1.894,-0.319,-2.589,-0.297,3
2,6,-1.877,-0.330,-2.873,-0.286,3
2,7,-1.938,-0.315,-2.796,-0.298,1
2,8,-2.129,-0.312,-3.159,-0.297,4
2,9,-1.974,-0.319,-3.021,-0.294,4
2,10,-1.921,-0.322,-2.051,-0.298,1
2,11,-1.906,-0.315,-2.744,-0.300,3
2,12,-2.063,-0.333,-3.745,-0.278,4
2,13,-1.952,-0.319,-2.222,-0.299,3
