user,video,delta,theta,alpha,beta,op
1,1,-2.379,-0.299,-2.927,-0.308,4
1,2,-2.066,-0.316,-2.589,-0.296,4
1,3,-2.191,-0.307,-3.732,-0.301,4
1,4,-2.362,-0.302,-3.180,-0.304,2
1,5,-2.297,-0.309,-2.549,-0.300,3
1,6,-2.111,-0.316,-3.738,-0.293,3
1,7,-2.179,-0.304,-3.083,-0.304,3
1,8,-2.214,-0.303,-3.498,-0.304,3
1,9,-2.198,-0.312,-3.003,-0.297,1
1,10,-2.152,-0.309,-3.188,-0.300,1
1,11,-2.609,-0.313,-2.839,-0.293,1
1,12,-2.098,-0.314,-2.750,-0.296,1
1,13,-2.095,-0.312,-2.572,-0.300,1
1,14,-2.188,-0.308,-2.880,-0.301,1
1,15,-2.485,-0.303,-2.822,-0.303,2
1,16,-2.168,-0.330,-2.828,-0.280,4
1,17,-2.141,-0.309,-2.694,-0.301,2
1,18,-2.200,-0.325,-3.982,-0.283,4
1,19,-2.132,-0.318,-3.325,-0.291,4
1,20,-2.252,-0.302,-3.248,-0.305,4
1,21,-2.263,-0.311,-3.092,-0.296,4
1,22,-2.237,-0.310,-3.082,-0.298,3
1,23,-2.282,-0.303,-3.110,-0.305,3
1,24,-2.144,-0.303,-3.591,-0.306,4
1,25,-2.265,-0.297,-2.530,-0.313,4
1,26,-2.118,-0.307,-4.619,-0.302,4
1,27,-2.121,-0.311,-3.089,-0.298,4
1,28,-2.208,-0.305,-2.949,-0.303,1
1,29,-2.270,-0.310,-2.704,-0.299,1
1,30,-2.153,-0.311,-2.403,-0.300,1
1,31,-2.187,-0.310,-2.327,-0.302,2
1,32,-2.154,-0.325,-3.450,-0.285,2
1,33,-2.250,-0.316,-4.269,-0.291,1
1,34,-2.204,-0.316,-1.998,-0.301,2
1,35,-1.998,-0.314,-2.720,-0.299,2
1,36,-1.764,-0.315,-2.343,-0.306,2
1,37,-2.119,-0.318,-2.380,-0.295,2
1,38,-2.375,-0.307,-3.039,-0.300,2
1,39,-2.059,-0.310,-2.275,-0.304,2
1,40,-2.350,-0.302,-3.667,-0.305,4
2,1,-2.015,-0.332,-3.202,-0.280,4
2,2,-1.959,-0.315,-3.710,-0.297,4
2,3,-1.864,-0.317,-2.403,-0.301,4
2,4,-1.780,-0.345,-1.954,-0.284,3
2,5,-1.892,-0.318,-2.684,-0.297,3
2,6,-1.873,-0.332,-2.701,-0.285,3
2,7,-1.963,-0.313,-2.687,-0.300,1
2,8,-2.126,-0.312,-2.755,-0.298,4
2,9,-1.945,-0.321,-2.678,-0.293,4
2,10,-1.928,-0.326,-2.003,-0.296,1
2,11,-1.921,-0.313,-2.978,-0.301,3
2,12,-2.035,-0.334,-3.558,-0.278,4
2,13,-1.964,-0.319,-2.216,-0.299,3
2,14,-1.786,-0.319,-2.218,-0.303,4
2,15,-1.799,-0.327,-3.634,-0.290,4
2,16,-1.998,-0.317,-1.952,-0.303,4
2,17,-1.998,-0.313,-3.251,-0.298,3
2,18,-1.843,-0.319,-3.126,-0.297,4
2,19,-1.961,-0.310,-3.645,-0.302,4
2,20,-1.925,-0.308,-4.871,-0.305,4
2,21,-2.039,-0.397,-2.684,-0.231,1
2,22,-2.118,-0.318,-3.079,-0.292,1
2,23,-1.841,-0.315,-3.028,-0.301,1
2,24,-1.926,-0.313,-3.381,-0.300,4
2,25,-1.885,-0.319,-3.411,-0.295,4
2,26,-1.894,-0.318,-2.610,-0.298,4
2,27,-2.032,-0.316,-4.952,-0.295,2
2,28,-1.998,-0.329,-3.119,-0.283,1
2,29,-1.927,-0.320,-2.243,-0.297,2
