user,video,delta,theta,alpha,beta,op
1,1,-2.383,-0.299,-2.975,-0.308,4
1,2,-2.155,-0.320,-2.394,-0.292,4
1,3,-2.337,-0.308,-2.954,-0.299,4
1,4,-2.480,-0.310,-3.215,-0.295,2
1,5,-2.321,-0.308,-2.448,-0.301,3
1,6,-2.138,-0.312,-2.669,-0.299,3
1,7,-2.166,-0.308,-2.451,-0.303,3
1,8,-2.276,-0.302,-3.473,-0.305,3
1,9,-2.311,-0.322,-3.066,-0.286,1
1,10,-2.162,-0.317,-2.095,-0.298,1
1,11,-2.575,-0.307,-2.856,-0.299,1
1,12,-2.268,-0.304,-2.696,-0.304,1
1,13,-2.125,-0.307,-3.091,-0.303,1
1,14,-2.316,-0.318,-2.759,-0.290,1
1,15,-2.532,-0.308,-2.135,-0.303,2
1,16,-2.160,-0.317,-4.063,-0.292,4
1,17,-2.156,-0.314,-2.506,-0.297,2
1,18,-2.189,-0.323,-2.713,-0.287,4
1,19,-2.161,-0.306,-3.980,-0.302,4
1,20,-2.213,-0.307,-2.316,-0.305,4
1,21,-2.342,-0.308,-3.134,-0.299,4
1,22,-2.319,-0.300,-3.055,-0.307,3
1,23,-2.291,-0.300,-2.925,-0.307,3
1,24,-2.366,-0.303,-2.312,-0.307,4
1,25,-2.386,-0.305,-2.375,-0.304,4
1,26,-2.374,-0.304,-3.082,-0.303,4
1,27,-2.439,-0.314,-2.655,-0.293,4
1,28,-2.357,-0.307,-3.269,-0.300,1
1,29,-2.338,-0.306,-2.113,-0.307,1
1,30,-2.369,-0.314,-2.235,-0.297,1
1,31,-2.302,-0.303,-2.352,-0.307,2
1,32,-2.258,-0.307,-2.597,-0.302,2
1,33,-2.433,-0.315,-2.543,-0.293,1
1,34,-2.303,-0.311,-2.554,-0.298,2
1,35,-2.021,-0.306,-3.503,-0.305,2
1,36,-2.074,-0.304,-2.674,-0.307,2
1,37,-2.300,-0.314,-2.164,-0.299,2
1,38,-2.313,-0.302,-2.700,-0.306,2
1,39,-2.149,-0.303,-2.154,-0.311,2
1,40,-2.303,-0.301,-2.864,-0.307,4
2,1,-2.000,-0.331,-3.197,-0.282,4
2,2,-1.960,-0.315,-4.071,-0.297,4
2,3,-1.850,-0.317,-2.304,-0.302,4
