user,video,delta,theta,alpha,beta,op
1,1,-2.362,-0.309,-2.848,-0.299,4
1,2,-2.167,-0.329,-2.383,-0.284,4
1,3,-2.392,-0.302,-3.094,-0.304,4
1,4,-2.433,-0.319,-2.913,-0.288,2
1,5,-2.434,-0.303,-4.081,-0.302,3
1,6,-2.312,-0.316,-2.376,-0.295,3
1,7,-2.111,-0.309,-2.596,-0.302,3
1,8,-2.490,-0.313,-3.143,-0.293,3
1,9,-2.535,-0.313,-4.772,-0.292,1
1,10,-2.292,-0.306,-3.274,-0.301,1
1,11,-2.428,-0.315,-3.461,-0.291,1
1,12,-2.257,-0.308,-3.720,-0.299,1
1,13,-2.111,-0.309,-3.710,-0.300,1
1,14,-2.559,-0.326,-3.285,-0.280,1
1,15,-2.621,-0.312,-2.189,-0.298,2
1,16,-2.272,-0.336,-2.646,-0.275,4
1,17,-2.223,-0.310,-2.619,-0.299,2
1,18,-2.264,-0.314,-3.190,-0.294,4
1,19,-2.158,-0.315,-2.905,-0.295,4
1,20,-2.447,-0.304,-3.484,-0.301,4
1,21,-2.195,-0.309,-3.333,-0.299,4
1,22,-2.293,-0.311,-3.034,-0.297,3
1,23,-2.404,-0.308,-3.213,-0.298,3
1,24,-2.318,-0.301,-3.264,-0.305,4
1,25,-2.299,-0.311,-2.681,-0.297,4
1,26,-2.374,-0.313,-3.304,-0.293,4
1,27,-2.374,-0.301,-3.557,-0.305,4
1,28,-2.349,-0.306,-4.646,-0.300,1
1,29,-2.488,-0.313,-3.327,-0.292,1
1,30,-2.343,-0.311,-2.618,-0.298,1
1,31,-2.258,-0.311,-2.363,-0.299,2
1,32,-2.506,-0.309,-3.157,-0.297,2
1,33,-2.309,-0.320,-3.615,-0.287,1
1,34,-2.420,-0.314,-2.830,-0.293,2
1,35,-1.882,-0.313,-2.268,-0.305,2
1,36,-1.860,-0.313,-2.654,-0.304,2
1,37,-2.295,-0.323,-3.607,-0.285,2
1,38,-2.593,-0.312,-3.132,-0.294,2
1,39,-2.368,-0.300,-2.942,-0.307,2
1,40,-2.466,-0.307,-3.058,-0.299,4
2,1,-2.023,-0.329,-3.316,-0.283,4
2,2,-1.959,-0.315,-4.057,-0.297,4
2,3,-1.866,-0.316,-2.351,-0.302,4
2,4,-1.754,-0.340,-2.164,-0.285,3
2,5,-1.881,-0.319,-2.724,-0.297,3
2,6,-1.874,-0.332,-2.827,-0.284,3
2,7,-1.935,-0.317,-2.758,-0.297,1
2,8,-2.113,-0.313,-3.019,-0.297,4
2,9,-1.976,-0.320,-2.829,-0.293,4
2,10,-1.931,-0.323,-1.969,-0.299,1
2,11,-1.902,-0.315,-2.844,-0.300,3
2,12,-2.048,-0.333,-3.573,-0.278,4
2,13,-1.957,-0.318,-2.210,-0.299,3
2,14,-1.766,-0.320,-2.181,-0.303,4
2,15,-1.758,-0.327,-3.497,-0.291,4
2,16,-1.983,-0.317,-1.950,-0.304,4
2,17,-1.997,-0.314,-3.332,-0.297,3
2,18,-1.899,-0.317,-3.188,-0.297,4
2,19,-2.009,-0.310,-3.771,-0.301,4
2,20,-1.963,-0.310,-4.575,-0.301,4
2,21,-2.014,-0.391,-2.922,-0.235,1
2,22,-2.138,-0.317,-3.099,-0.293,1
2,23,-1.887,-0.312,-2.903,-0.302,1
2,24,-1.924,-0.314,-2.822,-0.299,4
2,25,-1.885,-0.320,-3.392,-0.295,4
2,26,-1.915,-0.318,-2.601,-0.297,4
2,27,-2.041,-0.314,-4.442,-0.296,2
2,28,-2.003,-0.329,-3.383,-0.284,1
2,29,-1.948,-0.318,-2.262,-0.299,2
2,30,-1.946,-0.321,-2.994,-0.292,2
2,31,-1.934,-0.331,-2.638,-0.284,2
2,32,-2.086,-0.316,-3.139,-0.294,2
2,33,-2.054,-0.314,-3.334,-0.296,2
2,34,-1.962,-0.314,-3.310,-0.299,1
2,35,-1.880,-0.311,-2.372,-0.306,1
2,36,-1.708,-0.350,-3.179,-0.273,3
2,37,-1.815,-0.314,-3.244,-0.302,2
2,38,-1.974,-0.317,-5.061,-0.295,2
2,39,-2.152,-0.313,-3.564,-0.296,1
