user,video,delta,theta,alpha,beta,op
1,1,-2.264,-0.308,-2.752,-0.300,4
1,2,-2.035,-0.339,-2.163,-0.280,4
1,3,-2.163,-0.306,-4.003,-0.302,4
1,4,-2.497,-0.310,-2.786,-0.296,2
1,5,-2.354,-0.309,-2.459,-0.300,3
1,6,-2.152,-0.322,-2.526,-0.289,3
1,7,-2.041,-0.308,-2.706,-0.304,3
1,8,-2.286,-0.309,-3.151,-0.298,3
1,9,-2.236,-0.313,-4.297,-0.294,1
1,10,-2.255,-0.310,-3.627,-0.297,1
1,11,-2.458,-0.317,-2.723,-0.290,1
1,12,-2.037,-0.314,-2.974,-0.298,1
1,13,-2.054,-0.312,-3.887,-0.298,1
1,14,-2.257,-0.319,-2.815,-0.290,1
1,15,-2.644,-0.308,-2.676,-0.298,2
1,16,-2.048,-0.348,-2.416,-0.269,4
1,17,-2.085,-0.309,-2.712,-0.302,2
1,18,-2.263,-0.332,-3.377,-0.277,4
1,19,-2.093,-0.321,-2.970,-0.290,4
1,20,-2.215,-0.303,-3.164,-0.305,4
1,21,-2.189,-0.310,-3.207,-0.298,4
1,22,-2.161,-0.314,-2.842,-0.296,3
1,23,-2.303,-0.311,-3.386,-0.296,3
1,24,-2.163,-0.299,-3.634,-0.309,4
1,25,-2.202,-0.306,-2.409,-0.305,4
1,26,-2.231,-0.313,-2.963,-0.296,4
1,27,-2.152,-0.311,-3.037,-0.298,4
1,28,-2.208,-0.307,-2.885,-0.302,1
1,29,-2.374,-0.300,-2.535,-0.308,1
1,30,-2.097,-0.312,-2.514,-0.300,1
1,31,-2.085,-0.318,-2.119,-0.298,2
1,32,-2.260,-0.323,-2.685,-0.286,2
1,33,-2.186,-0.322,-3.183,-0.287,1
1,34,-2.283,-0.306,-3.777,-0.301,2
1,35,-1.827,-0.317,-2.502,-0.301,2
1,36,-1.613,-0.321,-2.282,-0.308,2
1,37,-2.222,-0.322,-2.793,-0.288,2
1,38,-2.376,-0.318,-2.655,-0.290,2
1,39,-2.175,-0.312,-2.303,-0.301,2
1,40,-2.425,-0.301,-4.148,-0.304,4
2,1,-2.000,-0.331,-3.193,-0.281,4
2,2,-1.955,-0.315,-3.980,-0.297,4
2,3,-1.850,-0.317,-2.304,-0.302,4
2,4,-1.755,-0.341,-2.105,-0.285,3
2,5,-1.882,-0.319,-2.661,-0.297,3
2,6,-1.878,-0.332,-2.778,-0.284,3
2,7,-1.938,-0.316,-2.728,-0.298,1
2,8,-2.127,-0.312,-2.962,-0.297,4
2,9,-1.963,-0.320,-2.755,-0.293,4
2,10,-1.917,-0.325,-1.971,-0.297,1
2,11,-1.905,-0.314,-2.876,-0.300,3
2,12,-2.044,-0.334,-3.528,-0.278,4
2,13,-1.953,-0.319,-2.137,-0.299,3
2,14,-1.771,-0.320,-2.201,-0.303,4
2,15,-1.766,-0.328,-3.907,-0.290,4
2,16,-1.988,-0.318,-1.921,-0.304,4
2,17,-1.986,-0.314,-3.297,-0.298,3
2,18,-1.846,-0.319,-3.131,-0.297,4
2,19,-1.983,-0.310,-3.830,-0.302,4
2,20,-1.938,-0.310,-4.738,-0.302,4
2,21,-2.028,-0.396,-2.792,-0.231,1
2,22,-2.122,-0.318,-3.060,-0.292,1
2,23,-1.833,-0.315,-3.075,-0.301,1
2,24,-1.920,-0.314,-3.240,-0.300,4
2,25,-1.865,-0.320,-3.395,-0.295,4
2,26,-1.903,-0.318,-2.609,-0.297,4
2,27,-2.033,-0.315,-4.976,-0.295,2
2,28,-1.992,-0.329,-3.284,-0.284,1
2,29,-1.930,-0.319,-2.290,-0.298,2
2,30,-1.953,-0.321,-3.008,-0.292,2
2,31,-1.922,-0.332,-2.647,-0.284,2
2,32,-2.087,-0.316,-3.367,-0.294,2
2,33,-2.045,-0.315,-3.220,-0.296,2
2,34,-1.954,-0.314,-3.328,-0.298,1
2,35,-1.863,-0.312,-2.347,-0.306,1
2,36,-1.721,-0.356,-2.814,-0.269,3
2,37,-1.816,-0.314,-3.244,-0.302,2
2,38,-1.976,-0.316,-4.667,-0.295,2
2,39,-2.163,-0.313,-3.708,-0.296,1
2,40,-1.960,-0.325,-2.329,-0.292,4
3,1,-1.869,-0.318,-2.242,-0.301,3
3,2,-1.852,-0.314,-4.922,-0.300,3
3,3,-1.890,-0.306,-3.748,-0.308,3
3,4,-1.684,-0.315,-2.026,-0.314,1
3,5,-1.838,-0.314,-2.815,-0.302,3
3,6,-2.020,-0.309,-3.677,-0.301,3
3,7,-1.960,-0.321,-3.978,-0.291,3
3,8,-2.109,-0.315,-3.266,-0.294,3
3,9,-2.275,-0.313,-3.517,-0.294,3
3,10,-1.956,-0.322,-3.450,-0.290,2
3,11,-2.064,-0.310,-3.166,-0.300,3
3,12,-2.114,-0.322,-2.265,-0.292,3
3,13,-1.709,-0.316,-4.064,-0.304,3
3,14,-1.722,-0.318,-2.766,-0.302,3
3,15,-1.901,-0.318,-3.403,-0.296,3
3,16,-1.828,-0.320,-2.582,-0.298,3
3,17,-1.854,-0.322,-2.852,-0.294,1
3,18,-1.940,-0.315,-3.117,-0.298,3
3,19,-2.018,-0.309,-3.385,-0.302,3
3,20,-1.855,-0.311,-2.293,-0.308,3
3,21,-2.008,-0.314,-3.957,-0.297,2
3,22,-1.947,-0.314,-3.893,-0.298,1
3,23,-1.875,-0.322,-4.227,-0.292,1
3,24,-1.818,-0.318,-3.652,-0.297,1
3,25,-1.909,-0.316,-2.983,-0.298,1
3,26,-1.921,-0.312,-3.349,-0.301,1
3,27,-1.945,-0.310,-4.231,-0.302,3
3,28,-1.971,-0.307,-2.027,-0.313,3
3,29,-1.863,-0.313,-2.825,-0.302,1
3,30,-1.866,-0.304,-3.580,-0.310,1
3,31,-1.974,-0.398,-2.642,-0.231,1
3,32,-1.902,-0.337,-2.263,-0.282,3
3,33,-2.358,-0.421,-2.590,-0.212,1
3,34,-1.788,-0.316,-3.289,-0.301,2
3,35,-2.100,-0.318,-2.621,-0.293,2
3,36,-2.198,-0.325,-2.605,-0.286,4
3,37,-1.972,-0.328,-2.091,-0.291,2
3,38,-2.059,-0.395,-3.322,-0.230,2
3,39,-1.649,-0.390,-1.128,-0.305,2
3,40,-1.693,-0.334,-2.231,-0.292,3
4,1,-2.174,-0.312,-5.285,-0.296,4
4,2,-2.206,-0.308,-4.314,-0.299,1
4,3,-2.135,-0.318,-2.354,-0.295,4
4,4,-1.956,-0.312,-3.874,-0.300,3
4,5,-2.208,-0.326,-2.769,-0.284,2
4,6,-2.280,-0.308,-3.563,-0.299,3
4,7,-2.152,-0.306,-3.898,-0.303,1
4,8,-2.020,-0.311,-3.452,-0.300,4
