user,video,delta,theta,alpha,beta,op
1,1,-2.435561,-0.3066851,2,-2.236583,-0.3210821,3,-2.338024,-0.3052851,4,-2.577814,-0.3135861,5,-2.250223,-0.3104171,6,-2.313959,-0.3189771,7,-2.197634,-0.3058811,8,-2.521230,-0.3118891,9,-2.481149,-0.3069861,10,-2.315775,-0.3081701,11,-2.403909,-0.3137071,12,-2.239478,-0.3122111,13,-2.270254,-0.3070781,14,-2.573250,-0.3183861,15,-2.570001,-0.2997431,16,-2.213712,-0.3282951,17,-2.295385,-0.3075291,18,-2.232111,-0.3117921,19,-2.284045,-0.3164391,20,-2.298788,-0.3020211,21,-2.212093,-0.3066431,22,-2.397361,-0.3075771,23,-2.478590,-0.3082641,24,-2.310065,-0.2986781,25,-2.353643,-0.3063071,26,-2.328397,-0.3108601,27,-2.374336,-0.2998781,28,-2.347042,-0.3074411,29,-2.491264,-0.2978851,30,-2.397446,-0.3101861,31,-2.148377,-0.3077301,32,-2.427753,-0.3112771,33,-2.250776,-0.3193621,34,-2.515204,-0.3090471,35,-2.093474,-0.3130611,36,-1.807675,-0.3165651,37,-2.341728,-0.3160951,38,-2.529532,-0.3073251,39,-2.268916,-0.3033131,40,-2.444469,-0.3036192,1,-2.000300,-0.3343592,2,-1.966338,-0.3144392,3,-1.838905,-0.3162522,4,-1.757058,-0.3390622,5,-1.884664,-0.3194582,6,-1.902062,-0.3294632,7,-1.939975,-0.3161362,8,-2.137457,-0.3126132,9,-2.003467,-0.3178532,10,-1.904972,-0.3269992,11,-1.895488,-0.3139402,12,-2.056041,-0.3334512,13,-1.954610,-0.3185122,14,-1.761401,-0.3190492,15,-1.763801,-0.3287812,16,-1.993665,-0.3181972,17,-1.971806,-0.3131432,18,-1.823062,-0.3193262,19,-1.981415,-0.3090142,20,-1.950752,-0.3099152,21,-2.029071,-0.3961812,22,-2.119756,-0.3179262,23,-1.817510,-0.3165612,24,-1.924668,-0.3136382,25,-1.840211,-0.3207702,26,-1.907603,-0.3186662,27,-2.027204,-0.3162282,28,-1.990197,-0.3291042,29,-1.924261,-0.3183482,30,-1.958950,-0.3212612,31,-1.909090,-0.3315082,32,-2.088027,-0.3159082,33,-2.044196,-0.3147272,34,-1.975960,-0.3134642,35,-1.852445,-0.3133432,36,-1.733313,-0.3532602,37,-1.823176,-0.3146112,38,-1.987225,-0.3157872,39,-2.180697,-0.3116262,40,-1.979996,-0.324373-0.319,-2.169,-0.304,4
2,15,-1.764,-0.329,-4.052,-0.289,4
2,16,-1.994,-0.318,-1.916,-0.304,4
2,17,-1.972,-0.313,-3.295,-0.299,3
2,18,-1.823,-0.319,-3.029,-0.297,4
2,19,-1.981,-0.309,-3.878,-0.302,4
2,20,-1.951,-0.310,-4.295,-0.302,4
2,21,-2.029,-0.396,-2.698,-0.231,1
2,22,-2.120,-0.318,-3.085,-0.292,1
2,23,-1.818,-0.317,-2.987,-0.300,1
2,24,-1.925,-0.314,-3.206,-0.299,4
2,25,-1.840,-0.321,-3.390,-0.295,4
2,26,-1.908,-0.319,-2.599,-0.297,4
2,27,-2.027,-0.316,-5.126,-0.294,2
2,28,-1.990,-0.329,-3.143,-0.284,1
2,29,-1.924,-0.318,-2.304,-0.299,2
2,30,-1.959,-0.321,-3.008,-0.292,2
2,31,-1.909,-0.332,-2.593,-0.285,2
2,32,-2.088,-0.316,-3.406,-0.294,2
2,33,-2.044,-0.315,-3.226,-0.296,2
2,34,-1.976,-0.313,-3.653,-0.298,1
2,35,-1.852,-0.313,-2.371,-0.305,1
2,36,-1.733,-0.353,-2.806,-0.270,3
2,37,-1.823,-0.315,-3.190,-0.301,2
2,38,-1.987,-0.316,-4.701,-0.296,2
2,39,-2.181,-0.312,-3.781,-0.296,1
2,40,-1.980,-0.324,-2.306,-0.292,4
3,1,-1.905,-0.312,-3.271,-0.302,3
3,2,-1.880,-0.316,-3.557,-0.298,3
3,3,-1.841,-0.309,-3.596,-0.306,3
3,4,-1.903,-0.315,-2.543,-0.301,1
3,5,-1.999,-0.306,-3.375,-0.305,3
3,6,-2.030,-0.312,-3.769,-0.298,3
3,7,-2.089,-0.316,-3.931,-0.294,3
3,8,-2.161,-0.315,-3.220,-0.294,3
3,9,-2.178,-0.310,-3.433,-0.298,3
3,10,-2.043,-0.323,-3.056,-0.288,2
3,11,-2.148,-0.314,-4.131,-0.294,3
3,12,-1.980,-0.323,-2.488,-0.292,3
3,13,-1.796,-0.315,-3.355,-0.302,3
3,14,-1.810,-0.318,-2.688,-0.300,3
3,15,-1.954,-0.312,-3.468,-0.301,3
3,16,-1.852,-0.317,-2.778,-0.299,3
3,17,-1.886,-0.322,-2.679,-0.293,1
3,18,-1.977,-0.314,-3.478,-0.298,3
3,19,-2.098,-0.308,-3.818,-0.301,3
3,20,-1.865,-0.313,-2.858,-0.302,3
3,21,-2.064,-0.313,-3.401,-0.297,2
3,22,-1.974,-0.311,-3.577,-0.300,1
3,23,-1.992,-0.317,-3.167,-0.295,1
3,24,-1.818,-0.320,-3.848,-0.296,1
3,25,-1.922,-0.314,-3.621,-0.298,1
3,26,-1.971,-0.312,-3.591,-0.300,1
3,27,-2.051,-0.308,-3.547,-0.302,3
