user,video,delta,theta,alpha,beta,op
1,1,-2.252,-0.303,-2.455,-0.308,4
1,2,-2.317,-0.303,-3.315,-0.303,4
1,3,-2.612,-0.302,-2.678,-0.304,4
1,4,-2.543,-0.309,-2.365,-0.300,2
1,5,-2.194,-0.315,-2.303,-0.297,3
1,6,-2.452,-0.327,-2.058,-0.287,3
1,7,-2.495,-0.306,-2.482,-0.302,3
1,8,-2.571,-0.308,-3.042,-0.297,3
1,9,-2.544,-0.313,-2.882,-0.293,1
1,10,-2.458,-0.311,-3.453,-0.294,1
1,11,-2.750,-0.302,-2.761,-0.303,1
1,12,-2.513,-0.313,-3.097,-0.293,1
1,13,-2.264,-0.306,-2.667,-0.303,1
1,14,-2.639,-0.312,-2.669,-0.294,1
1,15,-2.694,-0.306,-2.730,-0.299,2
1,16,-2.245,-0.298,-2.699,-0.311,4
1,17,-2.490,-0.302,-4.153,-0.303,2
1,18,-2.183,-0.312,-2.618,-0.298,4
1,19,-2.266,-0.301,-3.268,-0.306,4
1,20,-2.286,-0.301,-2.838,-0.307,4
1,21,-2.370,-0.309,-3.570,-0.298,4
1,22,-2.272,-0.306,-2.469,-0.304,3
1,23,-2.368,-0.306,-2.787,-0.302,3
1,24,-2.412,-0.305,-2.971,-0.301,4
1,25,-2.368,-0.311,-2.737,-0.296,4
1,26,-2.675,-0.293,-2.905,-0.312,4
1,27,-2.673,-0.310,-2.308,-0.298,4
1,28,-2.477,-0.314,-1.814,-0.305,1
1,29,-2.591,-0.307,-2.041,-0.305,1
1,30,-2.440,-0.316,-2.194,-0.295,1
1,31,-2.303,-0.308,-3.679,-0.299,2
1,32,-2.433,-0.304,-3.056,-0.302,2
1,33,-2.645,-0.313,-2.742,-0.293,1
1,34,-2.528,-0.317,-3.418,-0.289,2
1,35,-2.168,-0.308,-2.249,-0.305,2
1,36,-2.541,-0.315,-1.869,-0.302,2
1,37,-2.532,-0.311,-2.355,-0.298,2
1,38,-2.404,-0.296,-3.425,-0.310,2
1,39,-2.419,-0.312,-1.811,-0.307,2
1,40,-2.367,-0.312,-2.880,-0.295,4
2,1,-2.306,-0.301,-3.386,-0.306,4
2,2,-2.075,-0.306,-4.249,-0.303,4
2,3,-2.319,-0.307,-3.269,-0.300,4
2,4,-2.318,-0.308,-2.224,-0.304,3
2,5,-2.246,-0.313,-2.741,-0.296,3
2,6,-2.228,-0.317,-2.620,-0.293,3
2,7,-2.343,-0.310,-2.575,-0.299,1
2,8,-2.340,-0.303,-2.740,-0.304,4
2,9,-2.148,-0.313,-4.736,-0.295,4
2,10,-2.246,-0.306,-3.659,-0.301,1
2,11,-2.467,-0.298,-2.705,-0.309,3
2,12,-2.045,-0.310,-2.883,-0.301,4
2,13,-2.362,-0.295,-3.173,-0.312,3
2,14,-2.157,-0.308,-2.598,-0.303,4
2,15,-2.329,-0.308,-4.092,-0.299,4
2,16,-2.247,-0.302,-3.919,-0.305,4
2,17,-2.297,-0.305,-2.751,-0.303,3
2,18,-2.317,-0.311,-3.049,-0.296,4
2,19,-2.250,-0.303,-3.310,-0.305,4
2,20,-2.313,-0.302,-3.689,-0.304,4
2,21,-2.382,-0.312,-2.710,-0.296,1
2,22,-2.229,-0.297,-3.188,-0.311,1
2,23,-2.430,-0.304,-3.331,-0.302,1
2,24,-2.225,-0.306,-3.660,-0.301,4
2,25,-2.469,-0.302,-3.026,-0.303,4
2,26,-2.121,-0.308,-3.211,-0.301,4
2,27,-2.063,-0.303,-3.821,-0.307,2
2,28,-2.402,-0.304,-2.591,-0.303,1
2,29,-2.415,-0.295,-3.544,-0.311,2
2,30,-2.090,-0.311,-3.308,-0.298,2
2,31,-2.193,-0.310,-2.307,-0.302,2
2,32,-2.439,-0.297,-4.459,-0.308,2
2,33,-2.168,-0.305,-3.811,-0.303,2
2,34,-2.359,-0.302,-3.643,-0.304,1
2,35,-2.270,-0.307,-3.254,-0.300,1
2,36,-2.208,-0.327,-2.948,-0.283,3
2,37,-2.100,-0.303,-3.206,-0.306,2
2,38,-2.340,-0.308,-3.660,-0.299,2
2,39,-2.373,-0.308,-3.494,-0.298,1
2,40,-2.329,-0.302,-3.299,-0.305,4
3,1,-1.925,-0.315,-3.344,-0.298,3
3,2,-1.853,-0.314,-3.253,-0.301,3
3,3,-1.831,-0.311,-3.586,-0.304,3
3,4,-1.953,-0.311,-2.563,-0.303,1
3,5,-2.005,-0.310,-2.718,-0.302,3
3,6,-2.017,-0.315,-3.443,-0.296,3
3,7,-2.088,-0.320,-3.288,-0.291,3
3,8,-2.193,-0.311,-2.780,-0.298,3
3,9,-2.312,-0.311,-3.668,-0.296,3
3,10,-1.996,-0.329,-3.119,-0.284,2
3,11,-2.137,-0.315,-2.877,-0.294,3
3,12,-1.982,-0.328,-2.375,-0.288,3
3,13,-1.804,-0.312,-3.765,-0.304,3
3,14,-1.905,-0.315,-3.125,-0.299,3
3,15,-1.927,-0.318,-2.618,-0.297,3
3,16,-1.859,-0.318,-2.817,-0.298,3
3,17,-1.957,-0.317,-3.161,-0.296,1
3,18,-1.994,-0.312,-3.506,-0.299,3
3,19,-2.140,-0.310,-3.257,-0.299,3
3,20,-1.801,-0.313,-2.808,-0.304,3
3,21,-2.221,-0.311,-3.082,-0.297,2
3,22,-2.065,-0.312,-2.884,-0.299,1
3,23,-1.939,-0.321,-4.458,-0.292,1
3,24,-1.792,-0.325,-3.018,-0.293,1
3,25,-1.997,-0.320,-3.293,-0.292,1
3,26,-2.005,-0.313,-4.127,-0.297,1
3,27,-2.063,-0.307,-4.074,-0.302,3
3,28,-2.028,-0.310,-3.256,-0.301,3
3,29,-1.956,-0.309,-3.747,-0.303,1
3,30,-1.910,-0.306,-4.265,-0.307,1
3,31,-2.092,-0.390,-3.779,-0.233,1
3,32,-2.028,-0.323,-2.468,-0.291,3
3,33,-2.221,-0.382,-2.635,-0.239,1
3,34,-1.896,-0.318,-3.478,-0.296,2
3,35,-2.118,-0.319,-2.350,-0.294,2
3,36,-2.169,-0.318,-2.175,-0.296,4
3,37,-2.081,-0.323,-2.253,-0.292,2
3,38,-1.996,-0.372,-3.405,-0.248,2
3,39,-1.698,-0.383,-1.209,-0.298,2
3,40,-1.809,-0.329,-2.576,-0.290,3
4,1,-2.160,-0.311,-6.043,-0.297,4
4,2,-2.266,-0.308,-3.875,-0.299,1
4,3,-2.094,-0.315,-2.434,-0.298,4
4,4,-1.990,-0.312,-3.115,-0.300,3
4,5,-2.163,-0.332,-2.462,-0.280,2
4,6,-2.256,-0.308,-3.730,-0.299,3
4,7,-2.091,-0.305,-4.177,-0.304,1
4,8,-2.047,-0.308,-3.861,-0.302,4
4,9,-2.113,-0.312,-3.209,-0.298,3
4,10,-1.992,-0.318,-2.595,-0.296,1
4,11,-1.859,-0.323,-2.879,-0.293,4
4,12,-2.058,-0.316,-3.097,-0.294,4
