user,video,delta,theta,alpha,beta,op
1,1,-2.281,-0.303,-3.500,-0.304,4
1,2,-2.142,-0.317,-2.434,-0.295,4
1,3,-2.287,-0.310,-2.654,-0.298,4
1,4,-2.653,-0.313,-2.938,-0.292,2
1,5,-2.339,-0.308,-2.682,-0.300,3
1,6,-2.271,-0.322,-2.351,-0.289,3
1,7,-2.065,-0.312,-3.250,-0.298,3
1,8,-2.499,-0.313,-3.642,-0.293,3
1,9,-2.457,-0.319,-3.524,-0.287,1
1,10,-2.268,-0.319,-2.633,-0.290,1
1,11,-2.695,-0.320,-3.633,-0.285,1
1,12,-2.251,-0.313,-3.177,-0.295,1
1,13,-2.092,-0.312,-2.581,-0.300,1
1,14,-2.508,-0.325,-3.283,-0.282,1
1,15,-2.451,-0.309,-2.396,-0.299,2
1,16,-2.154,-0.330,-2.711,-0.281,4
1,17,-2.311,-0.319,-2.533,-0.291,2
1,18,-2.200,-0.326,-4.149,-0.283,4
1,19,-2.044,-0.310,-3.396,-0.300,4
1,20,-2.195,-0.301,-3.964,-0.307,4
1,21,-2.354,-0.316,-4.111,-0.290,4
1,22,-2.356,-0.313,-2.888,-0.294,3
1,23,-2.469,-0.305,-2.942,-0.301,3
1,24,-2.386,-0.305,-3.450,-0.301,4
1,25,-2.426,-0.309,-2.472,-0.299,4
1,26,-2.363,-0.305,-2.892,-0.302,4
1,27,-2.475,-0.316,-2.930,-0.290,4
1,28,-2.618,-0.304,-4.565,-0.300,1
1,29,-2.395,-0.314,-3.838,-0.292,1
1,30,-2.356,-0.319,-2.511,-0.290,1
1,31,-2.240,-0.310,-2.850,-0.298,2
1,32,-2.382,-0.312,-3.150,-0.294,2
1,33,-2.536,-0.323,-3.288,-0.283,1
1,34,-2.371,-0.317,-3.376,-0.289,2
1,35,-2.059,-0.309,-2.704,-0.302,2
1,36,-2.040,-0.312,-2.059,-0.306,2
1,37,-2.404,-0.320,-2.835,-0.287,2
1,38,-2.198,-0.313,-3.109,-0.295,2
1,39,-2.146,-0.304,-2.938,-0.306,2
1,40,-2.308,-0.308,-2.483,-0.301,4
2,1,-1.997,-0.335,-3.181,-0.279,4
2,2,-1.970,-0.314,-3.775,-0.297,4
2,3,-1.845,-0.316,-2.289,-0.303,4
2,4,-1.755,-0.338,-2.158,-0.287,3
2,5,-1.890,-0.319,-2.601,-0.296,3
2,6,-1.895,-0.330,-2.878,-0.286,3
2,7,-1.923,-0.317,-2.718,-0.298,1
2,8,-2.133,-0.313,-3.047,-0.296,4
2,9,-1.998,-0.318,-2.797,-0.294,4
2,10,-1.905,-0.327,-1.947,-0.297,1
2,11,-1.891,-0.314,-2.810,-0.301,3
2,12,-2.059,-0.333,-3.557,-0.279,4
2,13,-1.958,-0.318,-2.222,-0.299,3
2,14,-1.755,-0.319,-2.160,-0.304,4
2,15,-1.764,-0.328,-4.072,-0.290,4
2,16,-1.988,-0.318,-1.926,-0.304,4
2,17,-1.970,-0.313,-3.270,-0.299,3
2,18,-1.828,-0.319,-3.097,-0.297,4
2,19,-1.989,-0.309,-3.894,-0.302,4
