user,video,delta,theta,alpha,beta,op
1,1,-2.106,-0.306,-2.669,-0.305,4
1,2,-2.103,-0.322,-2.967,-0.289,4
1,3,-2.291,-0.314,-2.369,-0.297,4
1,4,-2.579,-0.330,-2.483,-0.279,2
1,5,-2.404,-0.311,-2.464,-0.297,3
1,6,-2.200,-0.322,-3.693,-0.286,3
1,7,-2.018,-0.313,-4.405,-0.297,3
1,8,-2.369,-0.310,-2.937,-0.297,3
1,9,-2.354,-0.323,-2.618,-0.286,1
1,10,-2.471,-0.308,-2.551,-0.300,1
1,11,-2.461,-0.310,-3.369,-0.295,1
1,12,-2.379,-0.315,-2.982,-0.292,1
1,13,-2.072,-0.310,-2.361,-0.304,1
1,14,-2.428,-0.314,-3.472,-0.292,1
1,15,-2.400,-0.303,-2.845,-0.303,2
1,16,-2.282,-0.337,-2.415,-0.275,4
1,17,-2.478,-0.307,-4.125,-0.298,2
1,18,-2.317,-0.318,-3.069,-0.289,4
1,19,-2.035,-0.308,-2.932,-0.303,4
1,20,-2.166,-0.302,-2.551,-0.309,4
1,21,-2.286,-0.310,-3.005,-0.297,4
1,22,-2.163,-0.319,-3.448,-0.290,3
1,23,-2.316,-0.308,-4.972,-0.299,3
1,24,-2.279,-0.312,-2.621,-0.297,4
1,25,-2.203,-0.315,-2.685,-0.295,4
1,26,-2.355,-0.304,-2.845,-0.303,4
1,27,-2.217,-0.311,-2.570,-0.299,4
1,28,-2.544,-0.299,-3.269,-0.306,1
1,29,-2.439,-0.314,-2.784,-0.293,1
1,30,-2.242,-0.314,-2.323,-0.298,1
1,31,-2.190,-0.316,-2.668,-0.294,2
1,32,-2.335,-0.314,-2.736,-0.293,2
1,33,-2.288,-0.323,-2.705,-0.286,1
1,34,-2.356,-0.308,-3.718,-0.298,2
1,35,-1.867,-0.319,-2.278,-0.300,2
1,36,-1.806,-0.321,-1.913,-0.305,2
1,37,-2.418,-0.315,-2.856,-0.292,2
1,38,-2.245,-0.314,-2.218,-0.298,2
1,39,-2.247,-0.305,-2.780,-0.303,2
1,40,-2.191,-0.304,-3.198,-0.305,4
2,1,-2.002,-0.331,-3.273,-0.282,4
2,2,-1.976,-0.314,-4.058,-0.298,4
2,3,-1.857,-0.317,-2.226,-0.303,4
2,4,-1.741,-0.341,-2.179,-0.285,3
2,5,-1.895,-0.318,-2.636,-0.297,3
2,6,-1.895,-0.330,-2.811,-0.285,3
2,7,-1.954,-0.315,-2.686,-0.298,1
2,8,-2.128,-0.312,-3.291,-0.297,4
2,9,-1.986,-0.318,-2.925,-0.295,4
2,10,-1.927,-0.323,-2.014,-0.298,1
2,11,-1.901,-0.314,-2.790,-0.300,3
2,12,-2.069,-0.333,-3.873,-0.278,4
2,13,-1.950,-0.319,-2.139,-0.299,3
2,14,-1.771,-0.320,-2.106,-0.304,4
2,15,-1.752,-0.328,-3.848,-0.291,4
2,16,-2.015,-0.318,-1.927,-0.303,4
2,17,-1.990,-0.314,-3.376,-0.298,3
2,18,-1.861,-0.318,-3.055,-0.297,4
2,19,-2.000,-0.310,-4.221,-0.301,4
2,20,-1.938,-0.311,-4.157,-0.301,4
2,21,-2.046,-0.394,-2.753,-0.232,1
2,22,-2.119,-0.317,-3.128,-0.292,1
2,23,-1.854,-0.314,-3.041,-0.301,1
2,24,-1.900,-0.314,-3.240,-0.300,4
2,25,-1.868,-0.320,-3.458,-0.295,4
2,26,-1.906,-0.318,-2.670,-0.298,4
2,27,-2.033,-0.315,-4.922,-0.295,2
2,28,-1.986,-0.330,-3.014,-0.283,1
2,29,-1.921,-0.319,-2.303,-0.298,2
2,30,-1.958,-0.321,-2.984,-0.292,2
