user,video,delta,theta,alpha,beta,op
1,1,-2.432,-0.304,-3.404,-0.302,4
1,2,-2.510,-0.310,-2.825,-0.296,4
1,3,-2.560,-0.310,-2.846,-0.296,4
1,4,-2.071,-0.318,-5.050,-0.292,2
1,5,-2.373,-0.311,-2.384,-0.298,3
1,6,-2.547,-0.317,-2.026,-0.296,3
1,7,-2.159,-0.306,-3.460,-0.302,3
1,8,-2.394,-0.306,-3.094,-0.300,3
1,9,-2.608,-0.312,-3.033,-0.294,1
1,10,-2.384,-0.301,-3.999,-0.304,1
1,11,-2.426,-0.305,-4.245,-0.300,1
1,12,-2.605,-0.310,-3.487,-0.295,1
1,13,-2.220,-0.312,-2.670,-0.297,1
1,14,-2.556,-0.315,-4.268,-0.290,1
1,15,-2.540,-0.306,-2.689,-0.300,2
1,16,-2.373,-0.323,-2.395,-0.287,4
1,17,-2.404,-0.304,-4.217,-0.302,2
1,18,-2.358,-0.311,-2.777,-0.297,4
1,19,-2.324,-0.303,-4.487,-0.304,4
1,20,-2.391,-0.304,-2.447,-0.305,4
1,21,-2.411,-0.309,-2.315,-0.301,4
1,22,-2.324,-0.304,-4.391,-0.302,3
1,23,-2.566,-0.310,-2.275,-0.299,3
1,24,-2.255,-0.304,-2.827,-0.304,4
1,25,-2.374,-0.311,-3.845,-0.295,4
1,26,-2.219,-0.307,-3.214,-0.301,4
1,27,-2.464,-0.306,-2.248,-0.304,4
1,28,-2.413,-0.312,-2.900,-0.295,1
1,29,-2.440,-0.310,-3.194,-0.296,1
1,30,-2.360,-0.310,-2.722,-0.298,1
1,31,-2.554,-0.305,-2.615,-0.302,2
1,32,-2.357,-0.307,-2.682,-0.301,2
1,33,-2.382,-0.320,-2.943,-0.288,1
1,34,-2.377,-0.313,-2.986,-0.294,2
1,35,-2.363,-0.305,-3.775,-0.301,2
1,36,-2.383,-0.306,-3.970,-0.300,2
1,37,-2.290,-0.311,-3.215,-0.296,2
1,38,-2.389,-0.301,-3.705,-0.304,2
1,39,-2.475,-0.314,-2.513,-0.293,2
1,40,-2.480,-0.304,-3.340,-0.301,4
2,1,-2.052,-0.330,-3.371,-0.281,4
2,2,-1.961,-0.314,-5.288,-0.298,4
2,3,-1.961,-0.315,-2.253,-0.302,4
2,4,-1.754,-0.348,-1.991,-0.281,3
2,5,-1.934,-0.316,-2.604,-0.298,3
2,6,-1.841,-0.333,-2.633,-0.285,3
2,7,-1.976,-0.311,-2.922,-0.301,1
2,8,-2.132,-0.311,-3.146,-0.298,4
2,9,-1.961,-0.320,-2.822,-0.293,4
2,10,-1.949,-0.318,-2.136,-0.300,1
2,11,-1.937,-0.313,-2.996,-0.300,3
2,12,-2.051,-0.331,-3.236,-0.281,4
2,13,-1.983,-0.318,-2.237,-0.298,3
2,14,-1.783,-0.321,-2.123,-0.303,4
2,15,-1.829,-0.327,-3.373,-0.290,4
2,16,-2.044,-0.316,-1.919,-0.304,4
2,17,-2.010,-0.314,-3.225,-0.297,3
2,18,-1.891,-0.317,-3.249,-0.297,4
2,19,-1.958,-0.311,-4.009,-0.301,4
2,20,-1.919,-0.308,-3.980,-0.305,4
2,21,-2.043,-0.393,-2.545,-0.234,1
2,22,-2.095,-0.318,-3.187,-0.292,1
2,23,-1.914,-0.312,-2.861,-0.302,1
2,24,-1.882,-0.314,-3.144,-0.301,4
2,25,-1.919,-0.319,-3.331,-0.294,4
2,26,-1.884,-0.316,-2.860,-0.299,4
2,27,-2.009,-0.314,-4.111,-0.297,2
2,28,-1.995,-0.332,-2.825,-0.282,1
2,29,-1.932,-0.320,-2.235,-0.298,2
2,30,-1.962,-0.321,-2.968,-0.292,2
2,31,-1.967,-0.328,-2.821,-0.286,2
2,32,-2.105,-0.315,-3.322,-0.294,2
2,33,-2.057,-0.315,-3.285,-0.295,2
2,34,-1.981,-0.311,-4.220,-0.301,1
2,35,-1.885,-0.312,-2.332,-0.305,1
2,36,-1.745,-0.362,-2.667,-0.263,3
2,37,-1.802,-0.314,-3.428,-0.302,2
2,38,-1.998,-0.316,-5.202,-0.295,2
2,39,-2.184,-0.314,-4.078,-0.294,1
2,40,-1.971,-0.323,-2.383,-0.292,4
3,1,-1.875,-0.319,-2.512,-0.298,3
3,2,-1.864,-0.313,-4.162,-0.301,3
3,3,-1.871,-0.310,-3.405,-0.305,3
3,4,-1.692,-0.319,-2.199,-0.307,1
3,5,-1.913,-0.313,-3.119,-0.300,3
3,6,-1.964,-0.315,-4.021,-0.297,3
3,7,-2.023,-0.318,-3.472,-0.293,3
3,8,-2.065,-0.315,-2.824,-0.296,3
3,9,-2.378,-0.311,-3.638,-0.295,3
