user,video,delta,theta,alpha,beta,op
1,1,-2.234,-0.304,-3.090,-0.304,4
1,2,-2.057,-0.332,-2.230,-0.284,4
1,3,-2.153,-0.309,-3.797,-0.299,4
1,4,-2.422,-0.311,-2.890,-0.296,2
1,5,-2.325,-0.314,-2.033,-0.300,3
1,6,-2.115,-0.313,-2.807,-0.297,3
1,7,-2.080,-0.311,-3.184,-0.299,3
1,8,-2.228,-0.311,-3.765,-0.297,3
1,9,-2.257,-0.315,-2.852,-0.294,1
1,10,-2.223,-0.311,-3.116,-0.297,1
1,11,-2.569,-0.317,-2.559,-0.291,1
1,12,-2.032,-0.316,-2.623,-0.297,1
1,13,-2.001,-0.311,-2.972,-0.301,1
1,14,-2.135,-0.314,-2.894,-0.296,1
1,15,-2.585,-0.306,-2.321,-0.302,2
1,16,-2.036,-0.337,-2.814,-0.277,4
1,17,-2.078,-0.315,-2.751,-0.296,2
1,18,-2.194,-0.330,-3.126,-0.279,4
1,19,-2.046,-0.319,-4.376,-0.292,4
1,20,-2.115,-0.302,-2.895,-0.308,4
1,21,-2.271,-0.309,-3.213,-0.299,4
1,22,-2.148,-0.310,-2.379,-0.302,3
1,23,-2.220,-0.308,-2.624,-0.302,3
1,24,-2.246,-0.304,-3.010,-0.304,4
1,25,-2.288,-0.299,-2.557,-0.310,4
1,26,-2.360,-0.306,-4.268,-0.300,4
1,27,-2.264,-0.314,-3.872,-0.294,4
1,28,-2.257,-0.308,-3.071,-0.300,1
1,29,-2.242,-0.304,-2.847,-0.304,1
1,30,-2.130,-0.318,-2.397,-0.295,1
1,31,-2.237,-0.312,-2.684,-0.297,2
1,32,-2.227,-0.319,-2.284,-0.293,2
1,33,-2.311,-0.321,-2.779,-0.288,1
1,34,-2.260,-0.307,-2.844,-0.301,2
1,35,-1.899,-0.309,-3.333,-0.304,2
1,36,-1.748,-0.314,-2.171,-0.310,2
1,37,-2.244,-0.316,-2.617,-0.293,2
1,38,-2.229,-0.315,-3.199,-0.293,2
1,39,-2.137,-0.307,-3.686,-0.302,2
1,40,-2.256,-0.304,-3.686,-0.304,4
2,1,-1.999,-0.331,-3.164,-0.282,4
2,2,-1.963,-0.315,-4.016,-0.297,4
2,3,-1.841,-0.318,-2.248,-0.302,4
2,4,-1.753,-0.341,-2.122,-0.285,3
2,5,-1.875,-0.319,-2.695,-0.297,3
2,6,-1.888,-0.331,-2.806,-0.285,3
2,7,-1.949,-0.316,-2.693,-0.298,1
2,8,-2.129,-0.312,-3.045,-0.297,4
2,9,-1.980,-0.319,-2.782,-0.294,4
2,10,-1.909,-0.325,-1.986,-0.297,1
2,11,-1.904,-0.314,-2.771,-0.300,3
2,12,-2.054,-0.334,-3.591,-0.278,4
2,13,-1.954,-0.319,-2.151,-0.299,3
2,14,-1.772,-0.320,-2.137,-0.304,4
2,15,-1.762,-0.328,-3.704,-0.290,4
2,16,-1.988,-0.318,-1.922,-0.303,4
2,17,-1.983,-0.313,-3.384,-0.298,3
2,18,-1.846,-0.318,-3.084,-0.297,4
