user,video,delta,theta,alpha,beta,op
1,1,-2.531,-0.303,-3.125,-0.302,4
1,2,-2.369,-0.312,-2.531,-0.296,4
1,3,-2.446,-0.302,-2.486,-0.306,4
1,4,-2.650,-0.304,-2.654,-0.301,2
1,5,-2.259,-0.308,-2.689,-0.301,3
1,6,-2.506,-0.318,-2.175,-0.293,3
1,7,-2.233,-0.306,-2.893,-0.303,3
1,8,-2.604,-0.313,-2.992,-0.292,3
1,9,-2.614,-0.310,-2.937,-0.295,1
1,10,-2.479,-0.304,-2.710,-0.303,1
1,11,-2.397,-0.308,-3.206,-0.298,1
1,12,-2.368,-0.311,-3.074,-0.296,1
1,13,-2.403,-0.307,-2.562,-0.301,1
1,14,-2.799,-0.317,-2.784,-0.289,1
1,15,-2.553,-0.303,-2.312,-0.306,2
1,16,-2.343,-0.317,-3.115,-0.290,4
1,17,-2.537,-0.298,-4.356,-0.307,2
1,18,-2.257,-0.308,-2.800,-0.300,4
1,19,-2.427,-0.303,-3.477,-0.302,4
1,20,-2.517,-0.300,-3.530,-0.305,4
1,21,-2.443,-0.302,-4.415,-0.303,4
1,22,-2.435,-0.308,-3.537,-0.297,3
1,23,-2.472,-0.306,-2.800,-0.301,3
1,24,-2.457,-0.299,-3.091,-0.307,4
1,25,-2.557,-0.303,-3.232,-0.302,4
1,26,-2.479,-0.308,-3.519,-0.297,4
1,27,-2.374,-0.295,-3.903,-0.310,4
1,28,-2.372,-0.296,-2.771,-0.312,1
1,29,-2.315,-0.307,-3.053,-0.300,1
1,30,-2.437,-0.309,-2.639,-0.298,1
1,31,-2.328,-0.301,-3.006,-0.306,2
1,32,-2.407,-0.316,-1.898,-0.300,2
1,33,-2.394,-0.317,-2.812,-0.290,1
1,34,-2.360,-0.309,-2.705,-0.299,2
1,35,-2.295,-0.311,-2.019,-0.304,2
1,36,-2.181,-0.312,-3.583,-0.296,2
1,37,-2.539,-0.309,-3.264,-0.296,2
1,38,-2.354,-0.301,-4.307,-0.305,2
1,39,-2.459,-0.300,-2.482,-0.308,2
1,40,-2.344,-0.306,-2.520,-0.303,4
2,1,-1.990,-0.322,-3.465,-0.290,4
2,2,-2.075,-0.311,-4.204,-0.298,4
2,3,-1.891,-0.314,-2.355,-0.303,4
2,4,-1.832,-0.330,-2.303,-0.290,3
2,5,-1.908,-0.318,-2.594,-0.298,3
2,6,-2.012,-0.323,-2.885,-0.289,3
2,7,-2.038,-0.315,-2.729,-0.297,1
2,8,-2.154,-0.312,-3.814,-0.297,4
2,9,-2.136,-0.313,-3.006,-0.296,4
2,10,-1.948,-0.324,-2.074,-0.296,1
2,11,-1.945,-0.311,-2.865,-0.302,3
2,12,-2.113,-0.329,-4.340,-0.281,4
2,13,-1.967,-0.316,-2.280,-0.301,3
2,14,-1.846,-0.317,-2.247,-0.303,4
2,15,-1.752,-0.325,-3.618,-0.293,4
2,16,-2.081,-0.316,-1.979,-0.302,4
2,17,-2.006,-0.313,-3.552,-0.298,3
2,18,-1.862,-0.318,-3.059,-0.297,4
