user,video,delta,theta,alpha,beta,op
1,1,-2.083,-0.308,-2.899,-0.302,4
1,2,-2.193,-0.323,-2.859,-0.287,4
1,3,-2.434,-0.310,-2.999,-0.296,4
1,4,-2.463,-0.313,-2.431,-0.296,2
1,5,-2.345,-0.310,-2.368,-0.300,3
1,6,-2.178,-0.329,-1.898,-0.291,3
1,7,-2.029,-0.309,-3.162,-0.302,3
1,8,-2.516,-0.312,-2.974,-0.294,3
1,9,-2.374,-0.315,-2.929,-0.292,1
1,10,-2.415,-0.309,-2.743,-0.298,1
1,11,-2.646,-0.310,-3.111,-0.295,1
1,12,-2.305,-0.322,-2.736,-0.286,1
1,13,-1.995,-0.315,-2.453,-0.299,1
1,14,-2.324,-0.315,-3.201,-0.292,1
1,15,-2.678,-0.304,-2.897,-0.301,2
1,16,-2.224,-0.327,-3.139,-0.282,4
1,17,-2.393,-0.309,-4.042,-0.296,2
1,18,-2.243,-0.324,-3.048,-0.284,4
1,19,-2.036,-0.309,-4.373,-0.301,4
1,20,-2.267,-0.304,-3.798,-0.303,4
1,21,-2.272,-0.313,-2.877,-0.295,4
1,22,-2.128,-0.314,-2.922,-0.295,3
1,23,-2.643,-0.313,-2.673,-0.293,3
1,24,-2.305,-0.312,-2.778,-0.296,4
1,25,-2.271,-0.312,-2.782,-0.297,4
1,26,-2.637,-0.307,-2.792,-0.298,4
1,27,-2.430,-0.311,-3.376,-0.295,4
1,28,-2.444,-0.311,-3.543,-0.295,1
1,29,-2.396,-0.306,-4.041,-0.300,1
1,30,-2.400,-0.314,-3.217,-0.292,1
1,31,-2.278,-0.312,-2.287,-0.299,2
1,32,-2.469,-0.305,-2.637,-0.302,2
1,33,-2.519,-0.318,-2.876,-0.289,1
1,34,-2.394,-0.317,-2.817,-0.291,2
1,35,-1.883,-0.313,-2.542,-0.303,2
1,36,-2.021,-0.317,-1.930,-0.304,2
1,37,-2.343,-0.317,-3.665,-0.289,2
1,38,-2.272,-0.310,-2.473,-0.300,2
1,39,-2.555,-0.305,-2.487,-0.302,2
1,40,-2.312,-0.302,-3.087,-0.305,4
2,1,-2.129,-0.310,-3.258,-0.299,4
2,2,-1.996,-0.312,-3.734,-0.299,4
2,3,-2.292,-0.314,-3.083,-0.294,4
2,4,-1.880,-0.331,-2.529,-0.286,3
2,5,-2.105,-0.308,-3.262,-0.301,3
2,6,-1.997,-0.329,-2.618,-0.285,3
2,7,-2.083,-0.313,-3.967,-0.297,1
2,8,-2.070,-0.308,-2.981,-0.303,4
2,9,-2.033,-0.318,-3.606,-0.293,4
2,10,-2.131,-0.301,-2.824,-0.309,1
2,11,-2.231,-0.307,-3.444,-0.300,3
2,12,-2.101,-0.319,-3.825,-0.290,4
2,13,-2.069,-0.313,-2.259,-0.301,3
2,14,-2.028,-0.314,-3.310,-0.297,4
2,15,-2.026,-0.319,-3.918,-0.292,4
2,16,-2.003,-0.320,-2.432,-0.295,4
2,17,-2.192,-0.317,-3.625,-0.292,3
2,18,-2.193,-0.317,-3.034,-0.292,4
2,19,-2.219,-0.307,-4.361,-0.301,4
2,20,-2.039,-0.304,-3.379,-0.306,4
2,21,-2.126,-0.344,-2.416,-0.271,1
2,22,-2.106,-0.311,-3.395,-0.299,1
2,23,-2.093,-0.311,-4.143,-0.298,1
2,24,-2.038,-0.314,-3.019,-0.297,4
