user,video,wavesegment,energy,entropy,sd,valence,arousal,combined
1,1,1,6.879,-1.600,4.458,2,2,4
1,1,2,5.837,-0.586,4.458,2,2,4
1,1,3,0.987,-0.442,4.458,2,2,4
1,1,4,11.216,-2.551,4.458,2,2,4
1,1,5,21.690,-2.098,4.458,2,2,4
1,1,6,19.703,-0.829,4.458,2,2,4
1,1,7,18.233,-1.102,4.458,2,2,4
1,1,8,9.381,-2.225,4.458,2,2,4
1,1,9,7.696,-1.487,4.458,2,2,4
1,1,10,19.160,-1.646,4.458,2,2,4
1,2,1,24.896,-1.180,4.458,2,2,4
1,2,2,11.708,-1.224,4.458,2,2,4
1,2,3,21.004,-1.264,4.458,2,2,4
1,2,4,2.301,-0.620,4.458,2,2,4
1,2,5,21.113,-2.315,4.458,2,2,4
1,2,6,22.900,-4.433,4.458,2,2,4
1,2,7,12.491,-4.123,4.458,2,2,4
1,2,8,2.200,-0.579,4.458,2,2,4
1,2,9,1.731,-0.770,4.458,2,2,4
1,2,10,4.593,-1.524,4.458,2,2,4
1,3,1,30.983,-1.575,4.458,2,2,4
1,3,2,3.931,-0.864,4.458,2,2,4
1,3,3,15.513,-1.311,4.458,2,2,4
1,3,4,17.986,-2.054,4.458,2,2,4
1,3,5,7.684,-2.107,4.458,2,2,4
1,3,6,7.016,-1.451,4.458,2,2,4
1,3,7,6.619,-1.034,4.458,2,2,4
1,3,8,4.779,-2.472,4.458,2,2,4
1,3,9,1.921,-1.895,4.458,2,2,4
1,3,10,11.477,-2.076,4.458,2,2,4
1,4,1,17.780,-1.241,4.458,1,2,2
1,4,2,4.627,-0.433,4.458,1,2,2
1,4,3,11.248,-1.760,4.458,1,2,2
1,4,4,5.201,-1.552,4.458,1,2,2
1,4,5,33.207,-2.445,4.458,1,2,2
1,4,6,15.636,-1.857,4.458,1,2,2
1,4,7,1.233,-0.966,4.458,1,2,2
1,4,8,4.575,-3.182,4.458,1,2,2
1,4,9,72.338,-2.256,4.458,1,2,2
1,4,10,13.861,-2.392,4.458,1,2,2
1,5,1,12.981,-3.080,4.458,2,1,3
1,5,2,7.494,-3.195,4.458,2,1,3
1,5,3,1.741,-1.214,4.458,2,1,3
1,5,4,2.969,-1.141,4.458,2,1,3
1,5,5,3.925,-0.873,4.458,2,1,3
1,5,6,30.744,-2.171,4.458,2,1,3
1,5,7,1.086,-2.380,4.458,2,1,3
1,5,8,1.104,-0.541,4.458,2,1,3
1,5,9,4.462,-1.210,4.458,2,1,3
1,5,10,5.012,-1.001,4.458,2,1,3
1,6,1,3.548,-2.058,4.458,2,1,3
1,6,2,12.032,-1.746,4.458,2,1,3
1,6,3,1.193,-0.393,4.458,2,1,3
1,6,4,8.217,-1.534,4.458,2,1,3
1,6,5,4.493,-1.783,4.458,2,1,3
1,6,6,17.107,-2.739,4.458,2,1,3
1,6,7,10.656,-3.505,4.458,2,1,3
1,6,8,4.524,-2.568,4.458,2,1,3
1,6,9,29.891,-1.918,4.458,2,1,3
1,6,10,11.556,-1.998,4.458,2,1,3
1,7,1,82.094,-2.092,4.458,2,1,3
1,7,2,52.100,-2.131,4.458,2,1,3
1,7,3,4.491,-1.600,4.458,2,1,3
1,7,4,1.189,-1.159,4.458,2,1,3
1,7,5,6.108,-1.402,4.458,2,1,3
1,7,6,1.211,-1.337,4.458,2,1,3
1,7,7,7.090,-0.597,4.458,2,1,3
1,7,8,3.935,-1.046,4.458,2,1,3
1,7,9,24.883,-3.141,4.458,2,1,3
1,7,10,9.388,-2.537,4.458,2,1,3
1,8,1,9.235,-1.553,4.458,2,1,3
1,8,2,9.668,-0.812,4.458,2,1,3
1,8,3,8.282,-0.739,4.458,2,1,3
1,8,4,9.845,-2.289,4.458,2,1,3
1,8,5,2.209,-1.069,4.458,2,1,3
1,8,6,4.909,-2.857,4.458,2,1,3
1,8,7,3.340,-1.455,4.458,2,1,3
1,8,8,2.386,-0.261,4.458,2,1,3
1,8,9,4.357,-1.145,4.458,2,1,3
1,8,10,28.313,-1.799,4.458,2,1,3
1,9,1,27.520,-1.808,4.458,1,1,1
