user,video,wavesegment,energy,entropy,sd,valence,arousal,combined
1,1,1,40.198,-2.616,4.458,2,2,4
1,1,2,12.734,-1.120,4.458,2,2,4
1,1,3,5.461,-1.537,4.458,2,2,4
1,1,4,6.811,-2.277,4.458,2,2,4
1,1,5,23.008,-3.368,4.458,2,2,4
1,1,6,18.717,-1.821,4.458,2,2,4
1,1,7,46.700,-1.702,4.458,2,2,4
1,1,8,0.743,-0.960,4.458,2,2,4
1,1,9,1.733,-1.107,4.458,2,2,4
1,1,10,39.970,-1.617,4.458,2,2,4
1,2,1,3.179,-1.519,4.458,2,2,4
1,2,2,7.479,-1.329,4.458,2,2,4
1,2,3,9.437,-1.425,4.458,2,2,4
1,2,4,9.455,-0.796,4.458,2,2,4
1,2,5,5.291,-1.198,4.458,2,2,4
1,2,6,17.109,-2.878,4.458,2,2,4
1,2,7,6.303,-1.972,4.458,2,2,4
1,2,8,0.800,-0.655,4.458,2,2,4
1,2,9,3.352,-1.192,4.458,2,2,4
1,2,10,11.516,-1.533,4.458,2,2,4
1,3,1,5.259,-1.139,4.458,2,2,4
1,3,2,3.661,-0.562,4.458,2,2,4
1,3,3,0.750,-0.701,4.458,2,2,4
1,3,4,4.673,-0.705,4.458,2,2,4
1,3,5,2.239,-1.401,4.458,2,2,4
1,3,6,16.429,-0.870,4.458,2,2,4
1,3,7,17.578,-1.452,4.458,2,2,4
1,3,8,10.733,-0.951,4.458,2,2,4
1,3,9,5.763,-1.412,4.458,2,2,4
1,3,10,11.250,-1.427,4.458,2,2,4
1,4,1,6.866,-1.212,4.458,1,2,2
1,4,2,11.897,-0.792,4.458,1,2,2
1,4,3,0.745,-0.298,4.458,1,2,2
1,4,4,9.266,-1.438,4.458,1,2,2
1,4,5,56.669,-2.921,4.458,1,2,2
1,4,6,11.581,-1.637,4.458,1,2,2
1,4,7,12.410,-0.857,4.458,1,2,2
1,4,8,5.094,-1.623,4.458,1,2,2
1,4,9,17.569,-1.754,4.458,1,2,2
1,4,10,11.575,-2.676,4.458,1,2,2
1,5,1,23.666,-2.091,4.458,2,1,3
1,5,2,5.524,-4.821,4.458,2,1,3
1,5,3,10.329,-2.345,4.458,2,1,3
1,5,4,8.847,-2.605,4.458,2,1,3
1,5,5,1.886,-0.755,4.458,2,1,3
1,5,6,23.999,-2.154,4.458,2,1,3
1,5,7,17.331,-1.295,4.458,2,1,3
1,5,8,0.089,-0.806,4.458,2,1,3
1,5,9,7.014,-0.995,4.458,2,1,3
1,5,10,6.578,-0.949,4.458,2,1,3
1,6,1,5.070,-1.463,4.458,2,1,3
1,6,2,4.182,-1.826,4.458,2,1,3
1,6,3,23.393,-2.009,4.458,2,1,3
1,6,4,7.100,-2.230,4.458,2,1,3
1,6,5,10.105,-2.185,4.458,2,1,3
1,6,6,11.664,-2.209,4.458,2,1,3
1,6,7,15.583,-2.279,4.458,2,1,3
1,6,8,3.368,-2.258,4.458,2,1,3
1,6,9,9.654,-1.727,4.458,2,1,3
1,6,10,2.110,-0.939,4.458,2,1,3
1,7,1,59.511,-2.553,4.458,2,1,3
1,7,2,41.293,-2.312,4.458,2,1,3
1,7,3,19.803,-1.151,4.458,2,1,3
1,7,4,9.150,-1.141,4.458,2,1,3
1,7,5,17.917,-2.403,4.458,2,1,3
1,7,6,25.360,-1.270,4.458,2,1,3
1,7,7,14.367,-1.301,4.458,2,1,3
1,7,8,2.986,-0.920,4.458,2,1,3
1,7,9,3.978,-0.984,4.458,2,1,3
1,7,10,16.269,-2.022,4.458,2,1,3
1,8,1,4.444,-1.288,4.458,2,1,3
1,8,2,3.238,-1.982,4.458,2,1,3
1,8,3,11.422,-0.949,4.458,2,1,3
1,8,4,10.806,-1.700,4.458,2,1,3
1,8,5,11.379,-2.224,4.458,2,1,3
1,8,6,1.045,-3.022,4.458,2,1,3
1,8,7,10.522,-1.631,4.458,2,1,3
1,8,8,8.766,-0.859,4.458,2,1,3
1,8,9,2.093,-1.524,4.458,2,1,3
1,8,10,34.124,-1.755,4.458,2,1,3
1,9,1,13.214,-1.271,4.458,1,1,1
1,9,2,6.251,-2.649,4.458,1,1,1
1,9,3,4.928,-1.515,4.458,1,1,1
1,9,4,4.732,-1.193,4.458,1,1,1
1,9,5,66.140,-2.298,4.458,1,1,1
1,9,6,1.645,-0.868,4.458,1,1,1
1,9,7,48.623,-2.481,4.458,1,1,1
1,9,8,31.034,-2.136,4.458,1,1,1
1,9,9,3.513,-1.695,4.458,1,1,1
1,9,10,56.508,-2.907,4.458,1,1,1
1,10,1,1.515,-1.245,4.458,1,1,1
1,10,2,5.890,-2.714,4.458,1,1,1
1,10,3,8.001,-1.542,4.458,1,1,1
1,10,4,10.221,-1.129,4.458,1,1,1
1,10,5,13.823,-0.737,4.458,1,1,1
1,10,6,14.262,-0.952,4.458,1,1,1
1,10,7,18.275,-1.088,4.458,1,1,1
1,10,8,1.574,-1.184,4.458,1,1,1
1,10,9,14.353,-2.075,4.458,1,1,1
1,10,10,2.658,-2.517,4.458,1,1,1
1,11,1,14.178,-2.356,4.458,1,1,1
1,11,2,2.847,-2.471,4.458,1,1,1
1,11,3,7.661,-1.236,4.458,1,1,1
1,11,4,2.845,-0.801,4.458,1,1,1
1,11,5,13.841,-1.419,4.458,1,1,1
1,11,6,6.919,-1.366,4.458,1,1,1
1,11,7,48.634,-2.111,4.458,1,1,1
1,11,8,6.443,-1.637,4.458,1,1,1
1,11,9,1.584,-2.585,4.458,1,1,1
1,11,10,4.794,-3.184,4.458,1,1,1
1,12,1,32.312,-2.162,4.458,1,1,1
1,12,2,5.966,-2.061,4.458,1,1,1
1,12,3,3.906,-1.387,4.458,1,1,1
1,12,4,12.820,-1.535,4.458,1,1,1
1,12,5,38.515,-2.520,4.458,1,1,1
1,12,6,57.983,-2.605,4.458,1,1,1
1,12,7,0.345,-0.415,4.458,1,1,1
1,12,8,13.809,-1.611,4.458,1,1,1
1,12,9,7.270,-2.043,4.458,1,1,1
1,12,10,1.781,-1.965,4.458,1,1,1
1,13,1,29.314,-1.485,4.458,1,1,1
1,13,2,21.432,-1.664,4.458,1,1,1
1,13,3,24.042,-2.272,4.458,1,1,1
1,13,4,15.458,-2.471,4.458,1,1,1
1,13,5,1.443,-0.616,4.458,1,1,1
1,13,6,30.884,-1.877,4.458,1,1,1
1,13,7,32.752,-2.771,4.458,1,1,1
1,13,8,10.366,-2.464,4.458,1,1,1
1,13,9,4.053,-1.549,4.458,1,1,1
1,13,10,13.222,-1.763,4.458,1,1,1
1,14,1,27.530,-2.577,4.458,1,1,1
1,14,2,21.857,-1.771,4.458,1,1,1
1,14,3,10.708,-1.328,4.458,1,1,1
1,14,4,4.557,-1.823,4.458,1,1,1
1,14,5,25.452,-3.377,4.458,1,1,1
1,14,6,7.735,-1.945,4.458,1,1,1
1,14,7,6.367,-2.276,4.458,1,1,1
1,14,8,38.434,-1.456,4.458,1,1,1
1,14,9,37.241,-2.240,4.458,1,1,1
1,14,10,1.881,-0.454,4.458,1,1,1
1,15,1,22.846,-1.430,4.458,1,2,2
1,15,2,2.726,-1.531,4.458,1,2,2
1,15,3,22.280,-1.250,4.458,1,2,2
1,15,4,58.611,-2.004,4.458,1,2,2
1,15,5,28.305,-1.790,4.458,1,2,2
1,15,6,29.082,-1.562,4.458,1,2,2
1,15,7,33.434,-2.598,4.458,1,2,2
1,15,8,2.500,-1.824,4.458,1,2,2
1,15,9,7.832,-1.375,4.458,1,2,2
1,15,10,26.135,-2.487,4.458,1,2,2
1,16,1,0.155,-1.033,4.458,2,2,4
1,16,2,18.972,-1.689,4.458,2,2,4
1,16,3,10.126,-0.627,4.458,2,2,4
1,16,4,22.106,-1.188,4.458,2,2,4
